datetime,predicted,actual,predicted_smoothed
2025-04-07 00:00:00,623.8743,477.5333333333333,623.8743
2025-04-07 00:05:00,574.8902,506.1,614.0775
2025-04-07 00:10:00,553.4831,483.6,610.77936
2025-04-07 00:15:00,646.0622,480.3,610.77936
2025-04-07 00:20:00,445.86594,482.05,610.77936
2025-04-07 00:25:00,587.3942,478.8,610.77936
2025-04-07 00:30:00,1009.26495,552.7,610.77936
2025-04-07 00:35:00,489.18356,553.8,610.77936
2025-04-07 00:40:00,462.4067,550.9,596.75134
2025-04-07 00:45:00,310.03806,481.6,539.4087
2025-04-07 00:50:00,457.34274,479.2,522.9955
2025-04-07 00:55:00,388.66574,478.2,510.67722
2025-04-07 01:00:00,568.86786,497.9,510.67722
2025-04-07 01:05:00,493.874,489.3,510.67722
2025-04-07 01:10:00,628.7758,487.1,531.6084
2025-04-07 01:15:00,630.8173,491.35,537.65405
2025-04-07 01:20:00,512.01825,552.1,537.65405
2025-04-07 01:25:00,514.0151,557.4,537.65405
2025-04-07 01:30:00,468.41867,486.3,525.53143
2025-04-07 01:35:00,478.45114,512.6,525.53143
2025-04-07 01:40:00,568.7139,485.3,525.53143
2025-04-07 01:45:00,572.32574,497.9,534.8903
2025-04-07 01:50:00,570.5766,484.1,542.0276
2025-04-07 01:55:00,702.46356,481.8,564.48773
2025-04-07 02:00:00,525.97943,496.05,564.48773
2025-04-07 02:05:00,1622.2838,565.9,662.7919
2025-04-07 02:10:00,516.45966,561.0,662.7919
2025-04-07 02:15:00,417.44162,555.6,662.7919
2025-04-07 02:20:00,399.3088,478.9,610.0953
2025-04-07 02:25:00,387.96115,481.5,565.66846
2025-04-07 02:30:00,440.22263,510.8,540.5793
2025-04-07 02:35:00,402.1035,497.0,526.88605
2025-04-07 02:40:00,518.41864,486.5,526.88605
2025-04-07 02:45:00,578.46625,484.5,526.88605
2025-04-07 02:50:00,523.3752,536.6999999999999,526.1839
2025-04-07 02:55:00,438.9951,558.6333333333333,508.74612
